,Date,User Account,Scores,Review,Label,Aspect
96,16/02/2021,Bima Jayusman,1,first order one hundred ninety thousand eggs let jelly free shipping ten thousand rupiah sent jelly wrote minus two thousand rupiah egg money coupons one hundred seventy thousand rupiah returned two weeks later lost two order egg coupons two thousand rupiah shopee id shopee managed tanihub confirm asked whatsapp tanihub response email cancel transaction payment two thousand money,0,SYSTEM
97,15/02/2021,alita ilyas,5,good delivery quality,1,SERVICE
98,15/02/2021,Hendra Wijaya Djiono,1,buy avocado despite good grade caterpillars bonus delivery ascertained application written maximum two days suddenly come tomorrow goods come guns ever calling whatsapp live rent always entrusted guard goods direct boarding consequently vegetables fresh fruit dormant without know coming,0,SERVICE
99,13/02/2021,Anindita Choirunisa,5,helpfull application,1,USEFULLNESS
100,12/2/2021,Kaniasari -,1,quality service vegetables fruit increasingly declining delivery week sweet orange mango two first purchase sour buy broccoli one kg instead ushered one pieces disappointing,0,SERVICE
101,11/2/2021,Endang Wahyuni,5,thanks tanihub make easier mothers son toddler want mango mango tanihub always tasty know season anyway thanks lot hopefully always blessing,1,USEFULLNESS
102,10/2/2021,Yuke Melissa,1,bad cust care phone help ordered feb ordered items order arrived feb items ordered items right one item automatically refund items package refund automatically application allowed complaints submit via email whatsapplication till feedback received refund big dissapointment almost one year customer relationship,0,SERVICE
103,8/2/2021,Lya Mo,5,shopping satisfied fruit vegetable quality really good delivery also fast use guns fussy address delivery location village,1,SERVICE
104,7/2/2021,Deden Setiawan,1,already paid late submissions arrives three new day arrive morning fish chicken already smell seems saved cold freezer overnight already liquid chat whatsapp response severe,0,SERVICE
105,6/2/2021,Karlim Tanzil,1,day order changed also sent dah forgiveness necessary goods today buy market application suck go market increasingly crack services operational hours chat costumer service still response,0,SERVICE
106,6/2/2021,bilie yasmin,1,reasons attached example informed maintenance system greater jakarta area impact supply chain order delayed delivery please willingness wait carry checks application periodically order shipped yes come buy vegetables use one week later asked charge ridiculous,0,SERVICE
107,5/2/2021,Squall Leon,1,delivery slow information h sent well increasingly disapponting service little improv next pandemic else go shopping improve,0,SERVICE
108,5/2/2021,indievidu,1,extremely disappointing satisfactory services want buy tanihub new one year already getting really,0,SERVICE
109,4/2/2021,Febrian Wibisono,1,postage expensive,0,SERVICE
110,3/2/2021,Candrika Sriwicaksani,5,petrified every mothers,1,USEFULLNESS
111,2/2/2021,Puji Sayekti,5,application somewhat heavy probably handphone less qualified often order via web personal computer far comfortable ok fluent use thanks tanihub,0,SYSTEM
112,2/2/2021,Dshe N,1,first time last use application bad service update stocks paying full advance ordered last time delivery got message ordered available follows procedure refund saying easily take three five working days hope like saying,0,SERVICE
113,31/01/2021,irfan hakim,5,good application fast delivery fresh product reasonable,1,SERVICE
114,30/01/2021,Regina Rani,5,application helpful fast service quality goods according explanation cheap price,1,SERVICE
115,28/01/2021,M Cece,5,great,1,USEFULLNESS
116,26/01/2021,Nur Janah,5,happy shopping tanihub never disappointed,1,SERVICE
117,26/01/2021,Endah SriRedjeki,4,sometimes fruit fresh wilted size small beyond expectations please improved loved,0,SERVICE
118,25/01/2021,Ryan antonius Ibrahim,5,helpful worthwhile still stay home pandemic,1,USEFULLNESS
119,21/01/2021,Alizia Kautsara,5,fresh products shopping without hassle proud indonesian farmers,1,USEFULLNESS
120,19/01/2021,Wastu Pradhana,5,application facilitate shopping fruits vegetables food material,1,USEFULLNESS
121,19/01/2021,Dasihati Ladu'u,4,tanihub please help world reduce use disposable plastic grocery way use plastic wrap try using kraft paper something like,1,SERVICE
122,18/01/2021,VIVI ALFIATY,5,good price quality service really helping pandemic,1,SERVICE
123,17/01/2021,Teguh Yulianto,5,good,1,USEFULLNESS
124,15/01/2021,Fransisca Kusuma Dewi,5,recommended,1,USEFULLNESS
125,15/01/2021,Tantyo purwandhika,1,bad application keep crashing fix use,0,SYSTEM
126,14/01/2021,Marina Situmorang,5,good keep good work,1,USEFULLNESS
127,10/1/2021,sheila riupassa,1,often use application used service fast long ministry order morning night still processed,0,SERVICE
128,8/1/2021,Adi Prayitno,5,afford wholesale prices us resell,1,USEFULLNESS
129,8/1/2021,latifa winahyu,5,great,1,SERVICE
130,1/7/2021,Cing Lin,2,still customers tanihub quite satisfied merchandise first complaint finished product main ingredients business needs products highly standardized goods market disapplicationointing diretur foul reason indeed decay much also standard market size hopefully better future,0,SERVICE
131,7/1/2021,wismi nurisdiani,1,paid full items delivered items ready give refund asked operator two times request refund answer hell,0,SERVICE
132,6/1/2021,Rudy Tambunan,5,steady go ahead,1,SYSTEM
133,5/1/2021,Fahmi Alki Nugraha,5,get vegetables cheaper price market quality good anyway thanks,1,SERVICE
134,4/1/2021,Feti Feti,5,recommended,1,USEFULLNESS
135,4/1/2021,Agus Supriyatno,1,services use promo referral order paid since pm new item delivered date good one pack oil empty made wallet refund process slow day fund entered contrived simple like marketplace bukalapak tokopedia shopee refund process realtime using shopping slow long,0,SERVICE
136,2/1/2021,Dyah Niken Saraswatie,5,four five times always satisfied ordered thanks,1,SERVICE
137,2/1/2021,sa sa,5,lack status package packed already way still updates application goods arrived information still packing big deal buyer outside house like worried package comes overall good quality good stuff cheap,1,SERVICE
138,1/2/2021,Novanda Prasetya,2,request farmer partners hub extraordinarily difficult,0,SYSTEM
139,31/12/2020,Eky Mukasyafah,5,picture show connection always good im using hotfix issue done change rating application thanks,1,SYSTEM
140,31/12/2020,Kadek Susila Negara,5,far good,1,USEFULLNESS
141,30/12/2020,grazio fernandez,5,good,1,USEFULLNESS
142,30/12/2020,favourite house,4,fast delivery packing neatly,1,SERVICE
143,29/12/2020,hery sepriadi,4,great application increase response speed completeness product,1,USEFULLNESS
144,28/12/2020,annisa rahma Pramitha,5,okay really anyway hopefully future complete product,1,SERVICE
145,27/12/2020,francisca paquita,5,orders arrived long day day good condition questions order status answered well,1,SERVICE
146,27/12/2020,Ai Cicih,4,delete application,0,SYSTEM
147,12/27/2020,FARIDAH KHAERUN NISA,2,hello tanihub would like advise better customer updated application need reviews data already applicationlication data banks,1,SYSTEM
148,25/12/2020,Riana Ambarsari,5,nice often shopping,1,USEFULLNESS
149,24/12/2020,Leon Mom,5,already subscribed since hard fun tani hub pandemic pandemic come closed months efforts still faithful thank tanihub sir farmer bandung especialy hub agit owner leon mom kitchen cml,1,USEFULLNESS
150,24/12/2020,Okky Bhaskara,5,tanihub application gives interesting experience enjoy products agricultural produce earth ease transaction delivery fast safe neat also assured quality products hopefully application provides big benefit farmers indonesia later aamiin bless,1,USEFULLNESS
151,23/12/2020,Intan Mustika,5,disappointed order sent chicken domestic chicken much different price big problem family eat chicken country due health problems first time misdirected please note edit turns sent back chicken bonus lgs deh star jump already often message thanks btw tp please check orders sometimes misplaced so because health problems ,1,SERVICE
152,23/12/2020,Sewa Rumah,5,great application good price offer,1,USEFULLNESS
153,23/12/2020,u organizer,4,many promo unfortunately often really less item delivery even resubmitted lazy wrote complain continue,1,SERVICE
154,22/12/2020,Sandra Benjamin,5,product fresh cheap,1,USEFULLNESS
155,21/12/2020,astri pita,5,practical quality products fast delivery,1,SERVICE
156,19/12/2020,Yulia Gunawan,5,good product quality fast delivery,1,SERVICE
157,19/12/2020,gebikarlinda A,4,passable complete shopping needs,1,USEFULLNESS
158,18/12/2020,Frieda Hariyanie,5,wonderful easy planned,1,USEFULLNESS
159,17/12/2020,Mutia Anggraini,5,helpful recommended food materials affordable price n fresh vegetable meat fish send frozen condition cool,1,USEFULLNESS
160,17/12/2020,Wafaaa,5,four times shopping super quality goods supermarkets without pesticides vegetable bit pest price value worth,1,USEFULLNESS
161,17/12/2020,Liza Wargiono,5,satisfied shopping tanihub added variety products offer complete purchases thanks,1,SERVICE
162,16/12/2020,Lilian Angguntari Sulya,5,use code voucher,1,SERVICE
163,16/12/2020,intan okta,1,expensive shipping cost near,0,SERVICE
164,15/12/2020,Susanna FSBHG,3,many notice error fail models et cetera verification account account settings corrected start use application properly thank,0,SYSTEM
165,14/12/2020,Anita Fitriani,5,work parents said accepted parents feel accepted inscription parents ca read fani septiana stuff corrupt order sausage vegetables tanihub also reply chats emails though contact starting pm wouw nice responds finally someone respond complaints great responds wish faster get back stars,1,SERVICE
166,14/12/2020,SATU TUHAN,5,friends farmers purchasers good,1,SERVICE
167,13/12/2020,Risa Purnama,5,like quality fruit freh mature,1,SERVICE
168,13/12/2020,ELLA PAAT,5,good,1,USEFULLNESS
169,13/12/2020,fivita sari,4,safe delivery fast good product quality,1,SERVICE
170,12/12/2020,Silvie Djiono,5,really love tani hub greatly assisted living urban areas would require support materials fresh quality food order live healthily tani hub provides plus facilitates easy process application delivery neat satisfied service tanihub,1,USEFULLNESS
171,12/12/2020,SYAHLAN HUSAIN,5,cool,1,USEFULLNESS
172,11/12/2020,Rita Sonia,5,good,1,USEFULLNESS
173,12/11/2020,Fadjar Tandabawana,2,severe delivery,0,SERVICE
174,10/12/2020,Frans Indrata,5,easy use good product fast response,1,USEFULLNESS
175,10/12/2020,uwie ui,5,cool,1,USEFULLNESS
176,10/12/2020,Vania Christi,3,good,1,USEFULLNESS
177,9/12/2020,Lily Pulu,5,helpful friendly,1,USEFULLNESS
178,9/12/2020,Fani Rifani,5,healthy shopping,1,USEFULLNESS
179,8/12/2020,Dwi asmi Narita,5,shopping groceries fruits n vegetables arrive quickly goods,1,SERVICE
180,7/12/2020,fazar Uzi,5,hardly wait use,1,USEFULLNESS
181,7/12/2020,Ayumi Khanza Channel,5,helpful,1,USEFULLNESS
182,7/12/2020,Jual Paket Berkebun Murah,1,click temple inedible eggs twelve thousand rupiah stock empty items ads applicationeared continuously facebook one star,0,SERVICE
183,6/12/2020,Edison Lst,5,easy use quick delivery,1,SERVICE
184,5/12/2020,Ryan MHP,5,cool,1,USEFULLNESS
185,5/12/2020,Andri Priyono,5,satisfied shop,1,SERVICE
186,4/12/2020,Joyce Meilanita,5,shopping efficient fresh produce fast delivery maintain quality,1,SERVICE
187,4/12/2020,riantri saraswati,5,helpful great selection fast delivery precise,1,USEFULLNESS
188,4/12/2020,wiyanty yin,5,good,1,USEFULLNESS
189,3/12/2020,Pramuditya Krisnanta,5,exceptional packaging keep goods fresh quick response cust service,1,SERVICE
190,3/12/2020,Titin Rolita,5,nice,1,SYSTEM
191,3/12/2020,Teknologi Nusantara,5,harvest please could,1,SERVICE
192,3/12/2020,Rico Caesar,5,satisfied shopping,1,SERVICE
193,3/12/2020,Vinny Wulandari,5,super convenient,1,SYSTEM
194,2/12/2020,rosilia aqilaalika,5,tanihub,1,SYSTEM
195,1/12/2020,like muntu,5,fresh product easy application really helps pandemic thank,1,USEFULLNESS
196,1/12/2020,Patty Eddy,5,fast response good prices,1,SERVICE
197,1/12/2020,Petty Kemukus,5,hepful useful,1,USEFULLNESS
198,1/12/2020,Saut M. Napitupulu,5,great application,1,SYSTEM
199,29/11/2020,endah larasati,5,fruits always fresh packaging affordable price interesting always satisfied shopping thanks hopefully success tanihub,1,USEFULLNESS
200,29/11/2020,yohanes paskah182,1,expensive even though place near,0,SERVICE
201,28/11/2020,Airen 007,5,exellent,1,SYSTEM
202,27/11/2020,Sunarto Lomewa,5,easy,1,USEFULLNESS
203,27/11/2020,RICA INFINITE,5,good stuff cheap prices packing neat,1,USEFULLNESS
204,26/11/2020,monkey d luffii,1,think go semarang regency semarang city,0,SERVICE
205,25/11/2020,Ana Yuda,5,cheap quality okay,1,USEFULLNESS
206,25/11/2020,Ang Inge,5,nice frugal,1,USEFULLNESS
207,25/11/2020,ErriC IsnainI MiftaH,5,good,1,USEFULLNESS
208,23/11/2020,Ratih Dwi Budiyanti,5,nice great application,1,SYSTEM
209,23/11/2020,ronny gondosari,5,fruit good price oke,1,SERVICE
210,21/11/2020,MIX UTUBE,5,good,1,SYSTEM
211,21/11/2020,Adrian Angka,1,last update error,0,SYSTEM
212,19/11/2020,Helen Hermanto,5,recommended,1,USEFULLNESS
213,18/11/2020,Antok Widiarto,5,applications big someday,1,SYSTEM
214,17/11/2020,Harry Noor,5,frequent shopping well helping farmers,1,USEFULLNESS
215,17/11/2020,Iriana Utami,5,easy shopping packaging product quality good reasonably priced fast delivery,1,SERVICE
216,16/11/2020,Juli Chen,5,application easy use products provide really good cheap price fast delivery courier packaging friendly safe destination,1,USEFULLNESS
217,16/11/2020,Anna Sofiana,5,application easy use plus include information product,1,SYSTEM
218,16/11/2020,ida Hamidah,5,farmer hub,1,SYSTEM
219,16/11/2020,ella kartika,5,good aplication,1,SYSTEM
220,15/11/2020,Fery Yulianus,5,good,1,USEFULLNESS
221,14/11/2020,Fernandes Aries,5,hell fruit bad tanihub delayed payment given quickly,0,SERVICE
222,13/11/2020,gede permadi,5,sales service good satisfying complaint handling responded well professionally keep good work,1,SERVICE
223,12/11/2020,Luciani Putri,5,cheap price good product quality fruits vegetables fresh,1,USEFULLNESS
224,12/11/2020,Gustav Sri Raharjo,5,best application,1,SYSTEM
225,11/11/2020,Herlyn Susi,5,good stuff timely nice safe packing,1,SERVICE
226,10/11/2020,Richi Djajadi,4,oh yes booked watermelon given seed already condition fresh patches blacks penetrate flesh watermelon expected product quality fresh fruits vegetables like guarded thanks,0,SERVICE
227,9/11/2020,TIFFANI PUTRI BASOEKI,5,oke,1,SERVICE
228,9/11/2020,Farifah Liu,5,good job,1,USEFULLNESS
229,9/11/2020,mi mi,5,helpful price relative cheap never one lacking quality control stuff posted double thanks responsive customer service team tanihub,1,USEFULLNESS
230,7/11/2020,Mita Kusnidar,5,fruits order always good shape application meticulous user friendly process easy picking product reaches us,1,USEFULLNESS
231,7/11/2020,Squall Leonheart,1,accept delivery early disappointing choice delivery hours delivery overnight someday delivery goods less quality control bad send goods less still less item dicancel empty use voucher voucher dideduct value spending still minimum purchase voucher fix voucher value instead percent ridiculous surprisingly still pay existing stock direct payments time move,0,SERVICE
232,5/11/2020,Annissa Putri,5,first try order good application many promos direct product information direfund account number directly new install please try register use code got voucher,1,SERVICE
233,4/11/2020,Heni Widowati,5,fresh good packaging great prices future add products,1,SERVICE
234,3/11/2020,Aura Feyla,5,good marketplace,1,SYSTEM
235,2/11/2020,Call Center,5,good quality products good packaging cheap prices,1,USEFULLNESS
236,2/11/2020,Rizki Putri Ayudini,5,quick delivery affordable price love,1,SERVICE
237,1/11/2020,Maria Winarni,5,customer service customer care responsive informative quality goods also good although labeled economical success always tanihub,1,SERVICE
238,29/10/2020,Farida Moedjeri,1,first use already disappointing promo price click buy two clay details total many purchased turns less one behind normal price unlike marketplace vegetable application application lock max buy one yes want easy weve customer trap hell application recomendation friends used promo code invalid inserted code invalid continued instant promo better good times normal,0,SERVICE
239,27/10/2020,Vanessa Maria,5,amazing service quality lot discounts recommended,1,SERVICE
240,27/10/2020,Ratna Arumpuspita,5,super oke satisfied packaging neat,1,SERVICE
241,26/10/2020,amalina fakhriah,5,easy use fairly detailed accurate happy shopping,1,USEFULLNESS
242,25/10/2020,mely adriany,5,first order tanihub awsome fast response n fresh product thanks tanihub,1,SERVICE
243,24/10/2020,Andika Laksana,5,product quality,1,SERVICE
244,24/10/2020,Febri Erlangga,1,advertising throughout indonesia sumatra guns also application,1,SERVICE
245,22/10/2020,Ella Sujarwo,5,nice packaging good products cool idea bridge gap farmers consumers,1,SERVICE
246,22/10/2020,Share Nob,5,service fast satisfying many promo compared application much better,1,SERVICE
247,21/10/2020,Trias Novia Farika,5,safe shopping without fear bag burst yes tanihub solution buy eggs got promo price one pleasure mothers hehe thanks tanihub,1,USEFULLNESS
248,21/10/2020,Rui Wang,5,application staple grocery shopping online delivery systems good reasonably priced many promos certainly fresh,1,SERVICE
249,21/10/2020,Hendra Alu,1,slow timely,0,SYSTEM
250,20/10/2020,Asun Yu,1,although quality vegetable fruit well delivery severe clear arriving incident customers sit waiting morning morning awere buying frozen products meat chicken sensitive temperature must handling delivery fleet plus business started great tricks apologize ask customer wait forever honestly met bad delivery,0,SERVICE
251,19/10/2020,Hadi Ariwibowo,1,payment mechanism using ovo dizzy continue clear,0,SYSTEM
252,19/10/2020,Anindita Hapsari,1,shopping ovo use already successful transaction got email tanihub transaction fails ask costumer service replied next day already solution requested hour wait experience like good faith speeding process compensation really bad balance ovo returned groceries coming,0,SERVICE
253,18/10/2020,heny 1892,5,good,1,USEFULLNESS
254,17/10/2020,Marianti Lim,5,good application response ok,1,SERVICE
255,17/10/2020,Lisma dyawati fuaida,5,excellent,1,SYSTEM
256,16/10/2020,It's Synka,5,good stuff prices also suitable delivery bit longer two days please note time delivery,1,SERVICE
257,16/10/2020,dones priyadi,5,shop many promo automatically price cheaper market price,1,USEFULLNESS
258,15/10/2020,Novita Tjong,5,satisfied shopping goods complaints addressed properly goods less replaced thanks tanihub,1,SERVICE
259,15/10/2020,Jeni Januari,5,good application,1,SYSTEM
260,14/10/2020,Vita Wahyu,5,amazing helpfull application grocery needs love,1,USEFULLNESS
261,14/10/2020,Fara Augusta,3,way expensive,0,SERVICE
262,13/10/2020,Karina Soerjodibroto,5,love shopping tanihub reviews swift delivery rely product quality well,1,SERVICE
263,12/10/2020,Rina Tan,5,good like housewife past pandemi customer service must cook go mini market lot application helpful vegetable fresh thank,1,USEFULLNESS
264,12/10/2020,Robby Nurmansyah,5,promo price cheaper market,1,USEFULLNESS
265,12/10/2020,Taro Cheese,5,gopay payments connected,0,SYSTEM
266,10/12/2020,secret girl,2,give two stars help operators difficult reach slow respond better tanihub shopping anyway something happens respond yes could order new days clear reply,0,SERVICE
267,12/10/2020,ken arum,1,courier clear many would inter hours asked customer service courier number given clear dah order nowhere courier also asking inter point wow really great know address point jabodetabek without question clear arrival orders want anymore better order sayurbox tokopedia,0,SERVICE
268,11/10/2020,ratih astuty,5,okay,1,SYSTEM
269,10/11/2020,Stefani Ong,2,spending months tani hub performance decline quality goods rather weak disapplicationointing hour orders house shipped morning afternoon week one goods almost already convey objections customer service last night almost reply received goods entrusted dud neighbors know sending chat whatsapp,0,SERVICE
270,10/11/2020,Otto Danar,2,product bit bit application lag,0,SYSTEM
271,10/10/2020,Arfi Ibkari,5,good application always satisfy product,1,SERVICE
